# Datos completos XRPUSDT interval=5m total=1000
# openTime(utc), open, high, low, close, volume, closeTime(utc), trades
2025-10-27 02:20:00,2.66580000,2.66870000,2.66370000,2.66690000,290937.90000000,2025-10-27 02:24:59,4387
2025-10-27 02:25:00,2.66690000,2.66850000,2.65280000,2.65420000,558948.60000000,2025-10-27 02:29:59,6121
2025-10-27 02:30:00,2.65420000,2.65420000,2.64410000,2.64630000,874330.30000000,2025-10-27 02:34:59,7721
2025-10-27 02:35:00,2.64630000,2.65110000,2.64420000,2.64960000,286944.20000000,2025-10-27 02:39:59,3699
2025-10-27 02:40:00,2.64960000,2.65490000,2.64960000,2.65380000,199570.20000000,2025-10-27 02:44:59,3448
2025-10-27 02:45:00,2.65380000,2.65500000,2.64660000,2.64700000,181598.10000000,2025-10-27 02:49:59,3259
2025-10-27 02:50:00,2.64690000,2.64810000,2.64230000,2.64320000,617570.40000000,2025-10-27 02:54:59,4812
2025-10-27 02:55:00,2.64320000,2.64710000,2.64310000,2.64560000,176396.00000000,2025-10-27 02:59:59,2954
2025-10-27 03:00:00,2.64560000,2.64650000,2.64250000,2.64630000,263568.60000000,2025-10-27 03:04:59,4466
2025-10-27 03:05:00,2.64640000,2.64800000,2.64410000,2.64460000,344114.60000000,2025-10-27 03:09:59,3945
2025-10-27 03:10:00,2.64450000,2.64850000,2.64270000,2.64590000,229581.60000000,2025-10-27 03:14:59,4317
2025-10-27 03:15:00,2.64590000,2.64920000,2.64410000,2.64590000,353721.80000000,2025-10-27 03:19:59,5529
2025-10-27 03:20:00,2.64590000,2.64780000,2.63660000,2.63790000,613847.50000000,2025-10-27 03:24:59,6038
2025-10-27 03:25:00,2.63790000,2.63790000,2.63300000,2.63510000,534862.80000000,2025-10-27 03:29:59,4160
2025-10-27 03:30:00,2.63510000,2.63680000,2.63250000,2.63340000,179587.50000000,2025-10-27 03:34:59,3412
2025-10-27 03:35:00,2.63340000,2.63550000,2.62250000,2.62890000,1272429.50000000,2025-10-27 03:39:59,7186
2025-10-27 03:40:00,2.62880000,2.62890000,2.62220000,2.62670000,583986.30000000,2025-10-27 03:44:59,3908
2025-10-27 03:45:00,2.62680000,2.63420000,2.62630000,2.63250000,607585.00000000,2025-10-27 03:49:59,4343
2025-10-27 03:50:00,2.63240000,2.63640000,2.62730000,2.63640000,339719.00000000,2025-10-27 03:54:59,3258
2025-10-27 03:55:00,2.63630000,2.63630000,2.63250000,2.63540000,382081.40000000,2025-10-27 03:59:59,2602
2025-10-27 04:00:00,2.63530000,2.63810000,2.63390000,2.63620000,275381.30000000,2025-10-27 04:04:59,3817
2025-10-27 04:05:00,2.63620000,2.64180000,2.63620000,2.64150000,252543.50000000,2025-10-27 04:09:59,3843
2025-10-27 04:10:00,2.64150000,2.64220000,2.63900000,2.64170000,188644.20000000,2025-10-27 04:14:59,2707
2025-10-27 04:15:00,2.64170000,2.64190000,2.63660000,2.63900000,310077.10000000,2025-10-27 04:19:59,3351
2025-10-27 04:20:00,2.63910000,2.64440000,2.63780000,2.64350000,198233.30000000,2025-10-27 04:24:59,2325
2025-10-27 04:25:00,2.64350000,2.64590000,2.64190000,2.64570000,192138.90000000,2025-10-27 04:29:59,3002
2025-10-27 04:30:00,2.64580000,2.64580000,2.64240000,2.64260000,274531.10000000,2025-10-27 04:34:59,2533
2025-10-27 04:35:00,2.64260000,2.64420000,2.63900000,2.64200000,304159.00000000,2025-10-27 04:39:59,2781
2025-10-27 04:40:00,2.64210000,2.64460000,2.64120000,2.64400000,159360.80000000,2025-10-27 04:44:59,2633
2025-10-27 04:45:00,2.64400000,2.64640000,2.64150000,2.64370000,277774.50000000,2025-10-27 04:49:59,3178
2025-10-27 04:50:00,2.64360000,2.64660000,2.64340000,2.64640000,109030.40000000,2025-10-27 04:54:59,1916
2025-10-27 04:55:00,2.64650000,2.64980000,2.64640000,2.64710000,172901.30000000,2025-10-27 04:59:59,2773
2025-10-27 05:00:00,2.64710000,2.65060000,2.64490000,2.65060000,183327.40000000,2025-10-27 05:04:59,2359
2025-10-27 05:05:00,2.65050000,2.65670000,2.65050000,2.65620000,284242.40000000,2025-10-27 05:09:59,3852
2025-10-27 05:10:00,2.65630000,2.66630000,2.65450000,2.66240000,572807.80000000,2025-10-27 05:14:59,7374
2025-10-27 05:15:00,2.66250000,2.67490000,2.66240000,2.66870000,1246787.40000000,2025-10-27 05:19:59,11876
2025-10-27 05:20:00,2.66880000,2.66970000,2.66350000,2.66360000,238129.60000000,2025-10-27 05:24:59,7097
2025-10-27 05:25:00,2.66360000,2.66840000,2.66190000,2.66360000,285052.20000000,2025-10-27 05:29:59,4699
2025-10-27 05:30:00,2.66350000,2.66370000,2.65350000,2.65450000,282330.50000000,2025-10-27 05:34:59,4692
2025-10-27 05:35:00,2.65440000,2.65480000,2.65130000,2.65170000,276908.10000000,2025-10-27 05:39:59,3233
2025-10-27 05:40:00,2.65170000,2.65450000,2.65040000,2.65240000,487235.40000000,2025-10-27 05:44:59,3337
2025-10-27 05:45:00,2.65240000,2.65300000,2.64800000,2.64810000,339287.30000000,2025-10-27 05:49:59,4553
2025-10-27 05:50:00,2.64810000,2.64820000,2.64140000,2.64410000,610714.30000000,2025-10-27 05:54:59,5045
2025-10-27 05:55:00,2.64420000,2.64790000,2.64370000,2.64590000,235103.30000000,2025-10-27 05:59:59,2629
2025-10-27 06:00:00,2.64600000,2.64670000,2.63750000,2.63820000,1046648.60000000,2025-10-27 06:04:59,7807
2025-10-27 06:05:00,2.63820000,2.63820000,2.63210000,2.63650000,719724.00000000,2025-10-27 06:09:59,7138
2025-10-27 06:10:00,2.63640000,2.63940000,2.63370000,2.63850000,350361.80000000,2025-10-27 06:14:59,3017
2025-10-27 06:15:00,2.63850000,2.64590000,2.63690000,2.64590000,321124.40000000,2025-10-27 06:19:59,4144
2025-10-27 06:20:00,2.64590000,2.64930000,2.64430000,2.64690000,317537.00000000,2025-10-27 06:24:59,3755
2025-10-27 06:25:00,2.64700000,2.65000000,2.64560000,2.64990000,207421.60000000,2025-10-27 06:29:59,2015
2025-10-27 06:30:00,2.65000000,2.65140000,2.64410000,2.64740000,366082.40000000,2025-10-27 06:34:59,4217
2025-10-27 06:35:00,2.64740000,2.65720000,2.64740000,2.65630000,366347.50000000,2025-10-27 06:39:59,4176
2025-10-27 06:40:00,2.65620000,2.65640000,2.64890000,2.64980000,245435.80000000,2025-10-27 06:44:59,3173
2025-10-27 06:45:00,2.64970000,2.65500000,2.64790000,2.65280000,419546.50000000,2025-10-27 06:49:59,5067
2025-10-27 06:50:00,2.65280000,2.65510000,2.64880000,2.65050000,304235.80000000,2025-10-27 06:54:59,4616
2025-10-27 06:55:00,2.65060000,2.65450000,2.64990000,2.65130000,380241.50000000,2025-10-27 06:59:59,3529
2025-10-27 07:00:00,2.65140000,2.65430000,2.64430000,2.65240000,481458.60000000,2025-10-27 07:04:59,5611
2025-10-27 07:05:00,2.65240000,2.65950000,2.64680000,2.64730000,349167.10000000,2025-10-27 07:09:59,7488
2025-10-27 07:10:00,2.64730000,2.65060000,2.64640000,2.64650000,169438.60000000,2025-10-27 07:14:59,4414
2025-10-27 07:15:00,2.64650000,2.64990000,2.64530000,2.64820000,212918.30000000,2025-10-27 07:19:59,3919
2025-10-27 07:20:00,2.64820000,2.64950000,2.64570000,2.64860000,225213.80000000,2025-10-27 07:24:59,3026
2025-10-27 07:25:00,2.64860000,2.65270000,2.64730000,2.64790000,267346.10000000,2025-10-27 07:29:59,3893
2025-10-27 07:30:00,2.64780000,2.64820000,2.63840000,2.64170000,514828.40000000,2025-10-27 07:34:59,5871
